Measurement report of dcv_sheet_cz_vpre_v2,,,,
Generated by DesCoVer 2.6.0,,,,
Date,2016-11-22 03:08:25 -0600,Author,b48923,
,,,,
,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic2 - Tue Nov 22 03:08:32 CST 2016,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=100p start=5u load=1M ,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
delay=5u ,,,,
,,,,
,,,,
amplitude,length,nominal,min_vclamp9,width(s)
-2,0.000000001,8.0217,6.44316,7.7613E-010
-2,1.26896E-009,8.0217,6.44316,7.7613E-010
-2,1.61026E-009,8.0217,6.44316,7.7613E-010
-2,0.000000002,8.0217,6.44316,7.7613E-010
-2,2.59294E-009,8.0217,6.44316,7.7613E-010
-2,3.29034E-009,8.0217,6.44316,7.7613E-010
-2,4.17532E-009,8.0217,6.44316,7.7613E-010
-2,5.29832E-009,8.0217,6.44316,7.7613E-010
-2,6.72336E-009,8.0217,6.44316,7.7613E-010
-2,8.53168E-009,8.0217,6.44316,7.7613E-010
-2,1.08264E-008,8.0217,6.36934,2.00827E-008
-2,1.37382E-008,8.0217,6.10487,5.32589E-009
-2,1.74333E-008,8.0217,6.12879,5.48827E-009
-2,2.21222E-008,8.0217,6.29423,3.2248E-008
-2,2.80722E-008,8.0217,6.38597,3.82624E-008
-2,3.56225E-008,8.0217,6.44316,4.48439E-008
-2,4.52035E-008,8.0217,6.44316,7.7613E-010
-2,5.73615E-008,8.0217,6.44316,7.7613E-010
-2,7.27895E-008,8.0217,6.44316,7.7613E-010
-2,9.23671E-008,8.0217,6.44316,7.7613E-010
-2,1.1721E-007,8.0217,6.44316,7.7613E-010
-2,1.48735E-007,8.0217,6.44316,7.7613E-010
-2,1.88739E-007,8.0217,6.44316,7.7613E-010
-2,2.39503E-007,8.0217,6.44316,7.7613E-010
-2,3.0392E-007,8.0217,6.44316,7.7613E-010
-2,3.85662E-007,8.0217,6.44316,7.7613E-010
-2,4.8939E-007,8.0217,6.44316,7.7613E-010
-2,0.000000621,8.0217,6.44316,7.7613E-010
-2,0.000000788,8.0217,6.44316,7.7613E-010
-2,0.000001,8.0217,6.44316,7.7613E-010
-4,0.000000001,8.0217,4.83628,0.000000001
-4,1.26896E-009,8.0217,4.83628,1.25926E-009
-4,1.61026E-009,8.0217,4.83628,1.27901E-009
-4,0.000000002,8.0217,4.83628,1.27901E-009
-4,2.59294E-009,8.0217,4.83628,1.27901E-009
-4,3.29034E-009,8.0217,4.83628,1.27901E-009
-4,4.17532E-009,8.0217,4.83628,1.27901E-009
-4,5.29832E-009,8.0217,4.83628,1.27901E-009
-4,6.72336E-009,8.0217,4.83628,1.27901E-009
-4,8.53168E-009,8.0217,4.83628,1.27901E-009
-4,1.08264E-008,8.0217,4.83628,1.27901E-009
-4,1.37382E-008,8.0217,4.83628,1.27901E-009
-4,1.74333E-008,8.0217,4.83628,1.27901E-009
-4,2.21222E-008,8.0217,4.83628,1.27901E-009
-4,2.80722E-008,8.0217,4.83628,1.27901E-009
